id,weight,VaccinationsUpToDate,age,diet,exercise,breed,Breed Predisposition,Joint Trauma Or Injury,Obesity,Genetic Factors,Canine Osteoarthritis
119,29,true,15,Canned/Wet Food,2,Rottweiler,true,true,true,true,true
120,23,false,11,Prescription/Veterinary Diet,0,German Shepherd,false,false,false,false,false
121,14,true,7,High-Protein Diet,1,Yorkshire Terrier,true,true,true,true,true
122,22,false,10,Homemade Dog Food,2,German Shepherd,false,false,false,false,false
123,23,true,11,Homemade Dog Food,0,Dachshund,true,true,true,true,true
124,24,false,16,Canned/Wet Food,1,German Shepherd,false,false,false,false,false
125,22,true,7,Limited Ingredient Diet,2,Bulldog,true,true,true,true,true
126,33,false,19,Prescription/Veterinary Diet,0,Golden Retriever,false,false,false,false,false
127,16,true,8,Grain-Free Diet,1,Golden Retriever,true,true,true,true,true
128,21,false,12,Raw Food Diet,2,Rottweiler,false,false,false,false,false
129,13,true,5,Small Breed Dog Food,0,German Shepherd,true,true,true,true,true
130,35,false,16,Raw Food Diet,1,Bulldog,false,false,false,false,false
131,14,true,18,Raw Food Diet,2,Golden Retriever,true,true,true,true,true
132,29,false,2,High-Protein Diet,0,Dachshund,false,false,false,false,false
133,35,true,1,Grain-Free Diet,1,Bulldog,true,true,true,true,true
134,25,false,4,Canned/Wet Food,2,Beagle,false,false,false,false,false
135,16,true,5,Small Breed Dog Food,0,French Bulldog,true,true,true,true,true
136,12,false,16,Homemade Dog Food,1,Rottweiler,false,false,false,false,false
137,32,true,10,Large Breed Dog Food,2,Beagle,true,true,true,true,true
138,12,false,16,High-Protein Diet,0,Beagle,false,false,false,false,false
139,23,true,15,High-Protein Diet,1,Bulldog,true,true,true,true,true
140,29,false,17,Prescription/Veterinary Diet,2,Dachshund,false,false,false,false,false
141,18,true,13,Raw Food Diet,0,Bulldog,true,true,true,true,true
142,14,false,3,Small Breed Dog Food,1,Bulldog,false,false,false,false,false
143,27,true,13,High-Protein Diet,2,Rottweiler,true,true,true,true,true
144,18,false,14,Grain-Free Diet,0,Golden Retriever,false,false,false,false,false
145,10,true,14,Grain-Free Diet,1,German Shepherd,true,true,true,true,true
146,34,false,18,Raw Food Diet,2,German Shepherd,false,false,false,false,false
147,12,true,18,Limited Ingredient Diet,0,Dachshund,true,true,true,true,true
148,22,false,4,Grain-Free Diet,1,French Bulldog,false,false,false,false,false
149,12,true,9,Dry Kibble,2,Rottweiler,true,true,true,true,true
150,35,false,5,Raw Food Diet,0,Dachshund,false,false,false,false,false
151,24,true,4,Raw Food Diet,1,Poodle,true,true,true,true,true
152,15,false,14,Limited Ingredient Diet,2,Bulldog,false,false,false,false,false
153,31,true,16,Small Breed Dog Food,0,French Bulldog,true,true,true,true,true
154,21,false,17,Prescription/Veterinary Diet,1,Poodle,false,false,false,false,false
155,21,true,15,Limited Ingredient Diet,2,Beagle,true,true,true,true,true
156,31,false,6,High-Protein Diet,0,Beagle,false,false,false,false,false
157,27,true,5,Grain-Free Diet,1,French Bulldog,true,true,true,true,true
158,22,false,18,Canned/Wet Food,2,Bulldog,false,false,false,false,false
159,29,true,6,High-Protein Diet,0,Rottweiler,true,true,true,true,true
160,29,false,15,Raw Food Diet,1,Bulldog,false,false,false,false,false
161,30,true,18,Limited Ingredient Diet,2,German Shepherd,true,true,true,true,true
162,19,false,12,Raw Food Diet,0,Yorkshire Terrier,false,false,false,false,false
163,13,true,17,Dry Kibble,1,German Shepherd,true,true,true,true,true
164,30,false,2,Homemade Dog Food,2,German Shepherd,false,false,false,false,false
165,12,true,14,Homemade Dog Food,0,German Shepherd,true,true,true,true,true
166,23,false,16,Raw Food Diet,1,Labrador Retriever,false,false,false,false,false
167,16,true,3,Small Breed Dog Food,2,French Bulldog,true,true,true,true,true
168,26,false,14,Large Breed Dog Food,0,Beagle,false,false,false,false,false
169,12,true,14,Grain-Free Diet,1,French Bulldog,true,true,true,true,true
170,27,false,5,Small Breed Dog Food,2,Rottweiler,false,false,false,false,false
171,34,true,16,Limited Ingredient Diet,0,Dachshund,true,true,true,true,true
172,11,false,2,Small Breed Dog Food,1,German Shepherd,false,false,false,false,false
173,33,true,9,Raw Food Diet,2,Bulldog,true,true,true,true,true
174,21,false,15,Homemade Dog Food,0,Rottweiler,false,false,false,false,false
175,27,true,15,Grain-Free Diet,1,Bulldog,true,true,true,true,true
176,28,false,14,Homemade Dog Food,2,Poodle,false,false,false,false,false
177,24,true,8,Prescription/Veterinary Diet,0,Bulldog,true,true,true,true,true
178,28,false,12,High-Protein Diet,1,Poodle,false,false,false,false,false
179,32,true,4,Prescription/Veterinary Diet,2,Poodle,true,true,true,true,true
180,24,false,8,Grain-Free Diet,0,German Shepherd,false,false,false,false,false
181,18,true,7,Limited Ingredient Diet,1,Golden Retriever,true,true,true,true,true
182,29,false,18,Prescription/Veterinary Diet,2,Dachshund,false,false,false,false,false
183,35,true,13,High-Protein Diet,0,Dachshund,true,true,true,true,true
184,35,false,5,Canned/Wet Food,1,German Shepherd,false,false,false,false,false
185,29,true,2,Homemade Dog Food,2,French Bulldog,true,true,true,true,true
186,34,false,10,Limited Ingredient Diet,0,Dachshund,false,false,false,false,false
187,32,true,13,Large Breed Dog Food,1,French Bulldog,true,true,true,true,true
188,32,false,11,Small Breed Dog Food,2,Dachshund,false,false,false,false,false
189,24,true,19,Dry Kibble,0,French Bulldog,true,true,true,true,true
190,34,false,12,Limited Ingredient Diet,1,Golden Retriever,false,false,false,false,false
191,35,true,9,Homemade Dog Food,2,French Bulldog,true,true,true,true,true
192,14,false,10,Limited Ingredient Diet,0,Beagle,false,false,false,false,false
193,26,true,8,Raw Food Diet,1,Rottweiler,true,true,true,true,true
194,15,false,6,Grain-Free Diet,2,French Bulldog,false,false,false,false,false
195,26,true,13,High-Protein Diet,0,Dachshund,true,true,true,true,true
196,29,false,9,High-Protein Diet,1,Dachshund,false,false,false,false,false
197,15,true,13,Small Breed Dog Food,2,Golden Retriever,true,true,true,true,true
198,19,false,4,Raw Food Diet,0,Poodle,false,false,false,false,false
199,33,true,8,Limited Ingredient Diet,1,German Shepherd,true,true,true,true,true
200,33,false,17,Prescription/Veterinary Diet,2,French Bulldog,false,false,false,false,false
201,13,true,14,Raw Food Diet,0,Bulldog,true,true,true,true,true
202,27,false,9,High-Protein Diet,1,Beagle,false,false,false,false,false
203,32,true,18,Grain-Free Diet,2,Poodle,true,true,true,true,true
204,22,false,11,Limited Ingredient Diet,0,Rottweiler,false,false,false,false,false
205,20,true,9,Grain-Free Diet,1,Bulldog,true,true,true,true,true
206,32,false,17,Raw Food Diet,2,German Shepherd,false,false,false,false,false
207,34,true,17,Small Breed Dog Food,0,Beagle,true,true,true,true,true
208,12,false,18,Prescription/Veterinary Diet,1,Poodle,false,false,false,false,false
209,18,true,7,Dry Kibble,2,Poodle,true,true,true,true,true
210,29,false,4,Canned/Wet Food,0,German Shepherd,false,false,false,false,false
211,19,true,1,Limited Ingredient Diet,1,Dachshund,true,true,true,true,true
212,30,false,14,Homemade Dog Food,2,Golden Retriever,false,false,false,false,false
213,18,true,12,Prescription/Veterinary Diet,0,Dachshund,true,true,true,true,true
214,10,false,8,High-Protein Diet,1,German Shepherd,false,false,false,false,false
215,14,true,4,Canned/Wet Food,2,Beagle,true,true,true,true,true
216,20,false,12,Limited Ingredient Diet,0,Rottweiler,false,false,false,false,false
217,13,true,16,Grain-Free Diet,1,Poodle,true,true,true,true,true
218,26,false,9,Dry Kibble,2,Poodle,false,false,false,false,false
219,11,true,11,Homemade Dog Food,0,Yorkshire Terrier,true,true,true,true,true
220,31,false,18,Raw Food Diet,1,Rottweiler,false,false,false,false,false
221,26,true,11,Homemade Dog Food,2,Golden Retriever,true,true,true,true,true
222,27,false,7,Grain-Free Diet,0,Beagle,false,false,false,false,false
223,16,true,8,High-Protein Diet,1,Poodle,true,true,true,true,true
224,20,false,18,High-Protein Diet,2,Dachshund,false,false,false,false,false
225,11,true,16,Canned/Wet Food,0,Poodle,true,true,true,true,true
226,13,false,16,Small Breed Dog Food,1,German Shepherd,false,false,false,false,false
227,20,true,7,Homemade Dog Food,2,German Shepherd,true,true,true,true,true
228,26,false,8,Grain-Free Diet,0,Rottweiler,false,false,false,false,false
229,15,true,10,Large Breed Dog Food,1,Poodle,true,true,true,true,true
230,22,false,4,Raw Food Diet,2,German Shepherd,false,false,false,false,false
231,33,true,18,Raw Food Diet,0,Rottweiler,true,true,true,true,true
232,25,false,18,High-Protein Diet,1,Rottweiler,false,false,false,false,false
233,34,true,11,Prescription/Veterinary Diet,2,Beagle,true,true,true,true,true
234,10,false,3,Large Breed Dog Food,0,Dachshund,false,false,false,false,false
235,31,true,5,Raw Food Diet,1,Beagle,true,true,true,true,true
236,33,false,16,Large Breed Dog Food,2,German Shepherd,false,false,false,false,false
237,21,true,16,High-Protein Diet,0,Rottweiler,true,true,true,true,true
238,21,false,9,Limited Ingredient Diet,1,French Bulldog,false,false,false,false,false
239,12,true,2,Homemade Dog Food,2,Bulldog,true,true,true,true,true
240,22,false,10,Canned/Wet Food,0,Bulldog,false,false,false,false,false
241,18,true,8,Canned/Wet Food,1,Labrador Retriever,true,true,true,true,true
242,25,false,12,Raw Food Diet,2,Yorkshire Terrier,false,false,false,false,false
243,34,true,4,Dry Kibble,0,French Bulldog,true,true,true,true,true
244,30,false,18,Homemade Dog Food,1,Bulldog,false,false,false,false,false
245,32,true,14,Canned/Wet Food,2,Rottweiler,true,true,true,true,true
246,15,false,2,Grain-Free Diet,0,French Bulldog,false,false,false,false,false
247,12,true,2,Limited Ingredient Diet,1,Dachshund,true,true,true,true,true
248,33,false,4,Grain-Free Diet,2,Poodle,false,false,false,false,false
249,23,true,5,Small Breed Dog Food,0,Labrador Retriever,true,true,true,true,true
