id,weight,VaccinationsUpToDate,age,diet,exercise,breed,Breed Predisposition,Obesity,Genetic Factors,Feline Diabetes
159,29,true,6,High-Protein Cat Food,0,Abyssinian,true,true,true,true
160,29,false,15,Raw Food Diet (Raw Cat Food),1,British Shorthair,false,false,false,false
161,30,true,18,Limited Ingredient Diet Cat Food,2,Siamese,true,true,true,true
162,19,false,12,Raw Food Diet (Raw Cat Food),0,Birman,false,false,false,false
163,13,true,17,Dry Cat Food (Kibble),1,Siamese,true,true,true,true
164,30,false,2,Homemade Cat Food,2,Siamese,false,false,false,false
165,12,true,14,Homemade Cat Food,0,Siamese,true,true,true,true
166,23,false,16,Raw Food Diet (Raw Cat Food),1,Persian,false,false,false,false
167,16,true,3,Senior Cat Food,2,Maine Coon,true,true,true,true
168,26,false,14,Kitten Food,0,Bengal,false,false,false,false
169,12,true,14,Grain-Free Cat Food,1,Maine Coon,true,true,true,true
170,27,false,5,Senior Cat Food,2,Abyssinian,false,false,false,false
171,34,true,16,Limited Ingredient Diet Cat Food,0,Scottish Fold,true,true,true,true
172,11,false,2,Senior Cat Food,1,Siamese,false,false,false,false
173,33,true,9,Raw Food Diet (Raw Cat Food),2,British Shorthair,true,true,true,true
174,21,false,15,Homemade Cat Food,0,Abyssinian,false,false,false,false
175,27,true,15,Grain-Free Cat Food,1,British Shorthair,true,true,true,true
176,28,false,14,Homemade Cat Food,2,Sphynx,false,false,false,false
177,24,true,8,Prescription/Veterinary Diet Cat Food,0,British Shorthair,true,true,true,true
178,28,false,12,High-Protein Cat Food,1,Sphynx,false,false,false,false
179,32,true,4,Prescription/Veterinary Diet Cat Food,2,Sphynx,true,true,true,true
180,24,false,8,Grain-Free Cat Food,0,Siamese,false,false,false,false
181,18,true,7,Limited Ingredient Diet Cat Food,1,Ragdoll,true,true,true,true
182,29,false,18,Prescription/Veterinary Diet Cat Food,2,Scottish Fold,false,false,false,false
183,35,true,13,High-Protein Cat Food,0,Scottish Fold,true,true,true,true
184,35,false,5,Canned/Wet Cat Food,1,Siamese,false,false,false,false
185,29,true,2,Homemade Cat Food,2,Maine Coon,true,true,true,true
186,34,false,10,Limited Ingredient Diet Cat Food,0,Scottish Fold,false,false,false,false
187,32,true,13,Kitten Food,1,Maine Coon,true,true,true,true
188,32,false,11,Senior Cat Food,2,Scottish Fold,false,false,false,false
189,24,true,19,Dry Cat Food (Kibble),0,Maine Coon,true,true,true,true
190,34,false,12,Limited Ingredient Diet Cat Food,1,Ragdoll,false,false,false,false
191,35,true,9,Homemade Cat Food,2,Maine Coon,true,true,true,true
192,14,false,10,Limited Ingredient Diet Cat Food,0,Bengal,false,false,false,false
193,26,true,8,Raw Food Diet (Raw Cat Food),1,Abyssinian,true,true,true,true
194,15,false,6,Grain-Free Cat Food,2,Maine Coon,false,false,false,false
195,26,true,13,High-Protein Cat Food,0,Scottish Fold,true,true,true,true
196,29,false,9,High-Protein Cat Food,1,Scottish Fold,false,false,false,false
197,15,true,13,Senior Cat Food,2,Ragdoll,true,true,true,true
198,19,false,4,Raw Food Diet (Raw Cat Food),0,Sphynx,false,false,false,false
199,33,true,8,Limited Ingredient Diet Cat Food,1,Siamese,true,true,true,true
200,33,false,17,Prescription/Veterinary Diet Cat Food,2,Maine Coon,false,false,false,false
201,13,true,14,Raw Food Diet (Raw Cat Food),0,British Shorthair,true,true,true,true
202,27,false,9,High-Protein Cat Food,1,Bengal,false,false,false,false
203,32,true,18,Grain-Free Cat Food,2,Sphynx,true,true,true,true
204,22,false,11,Limited Ingredient Diet Cat Food,0,Abyssinian,false,false,false,false
205,20,true,9,Grain-Free Cat Food,1,British Shorthair,true,true,true,true
206,32,false,17,Raw Food Diet (Raw Cat Food),2,Siamese,false,false,false,false
207,34,true,17,Senior Cat Food,0,Bengal,true,true,true,true
208,12,false,18,Prescription/Veterinary Diet Cat Food,1,Sphynx,false,false,false,false
209,18,true,7,Dry Cat Food (Kibble),2,Sphynx,true,true,true,true
210,29,false,4,Canned/Wet Cat Food,0,Siamese,false,false,false,false
211,19,true,1,Limited Ingredient Diet Cat Food,1,Scottish Fold,true,true,true,true
212,30,false,14,Homemade Cat Food,2,Ragdoll,false,false,false,false
213,18,true,12,Prescription/Veterinary Diet Cat Food,0,Scottish Fold,true,true,true,true
214,10,false,8,High-Protein Cat Food,1,Siamese,false,false,false,false
215,14,true,4,Canned/Wet Cat Food,2,Bengal,true,true,true,true
216,20,false,12,Limited Ingredient Diet Cat Food,0,Abyssinian,false,false,false,false
217,13,true,16,Grain-Free Cat Food,1,Sphynx,true,true,true,true
218,26,false,9,Dry Cat Food (Kibble),2,Sphynx,false,false,false,false
219,11,true,11,Homemade Cat Food,0,Birman,true,true,true,true
220,31,false,18,Raw Food Diet (Raw Cat Food),1,Abyssinian,false,false,false,false
221,26,true,11,Homemade Cat Food,2,Ragdoll,true,true,true,true
222,27,false,7,Grain-Free Cat Food,0,Bengal,false,false,false,false
223,16,true,8,High-Protein Cat Food,1,Sphynx,true,true,true,true
224,20,false,18,High-Protein Cat Food,2,Scottish Fold,false,false,false,false
225,11,true,16,Canned/Wet Cat Food,0,Sphynx,true,true,true,true
226,13,false,16,Senior Cat Food,1,Siamese,false,false,false,false
227,20,true,7,Homemade Cat Food,2,Siamese,true,true,true,true
228,26,false,8,Grain-Free Cat Food,0,Abyssinian,false,false,false,false
229,15,true,10,Kitten Food,1,Sphynx,true,true,true,true
230,22,false,4,Raw Food Diet (Raw Cat Food),2,Siamese,false,false,false,false
231,33,true,18,Raw Food Diet (Raw Cat Food),0,Abyssinian,true,true,true,true
232,25,false,18,High-Protein Cat Food,1,Abyssinian,false,false,false,false
233,34,true,11,Prescription/Veterinary Diet Cat Food,2,Bengal,true,true,true,true
234,10,false,3,Kitten Food,0,Scottish Fold,false,false,false,false
235,31,true,5,Raw Food Diet (Raw Cat Food),1,Bengal,true,true,true,true
236,33,false,16,Kitten Food,2,Siamese,false,false,false,false
237,21,true,16,High-Protein Cat Food,0,Abyssinian,true,true,true,true
238,21,false,9,Limited Ingredient Diet Cat Food,1,Maine Coon,false,false,false,false
239,12,true,2,Homemade Cat Food,2,British Shorthair,true,true,true,true
240,22,false,10,Canned/Wet Cat Food,0,British Shorthair,false,false,false,false
241,18,true,8,Canned/Wet Cat Food,1,Persian,true,true,true,true
242,25,false,12,Raw Food Diet (Raw Cat Food),2,Birman,false,false,false,false
243,34,true,4,Dry Cat Food (Kibble),0,Maine Coon,true,true,true,true
244,30,false,18,Homemade Cat Food,1,British Shorthair,false,false,false,false
245,32,true,14,Canned/Wet Cat Food,2,Abyssinian,true,true,true,true
246,15,false,2,Grain-Free Cat Food,0,Maine Coon,false,false,false,false
247,12,true,2,Limited Ingredient Diet Cat Food,1,Scottish Fold,true,true,true,true
248,33,false,4,Grain-Free Cat Food,2,Sphynx,false,false,false,false
249,23,true,5,Senior Cat Food,0,Persian,true,true,true,true
